"FLAG_RESIL";"CLASS_AGE";"CLASS_ANC";"CLASS_OFFRE";"CLASS_DEP";"CLASS_APPELS";"CLASS_P_APPELS_DS_FFT";"CLASS_HORS_FFT";"CLASS_SERVICES";"CLASS_TU";"CLASS_NBAPPELS";"CLASS_SD_DS_FR"
"33";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"NO_DEP";"APP3";"PAP3";"HORS_FFT_OUI";"SER1";"TU2";"NB_HF_1";"SD_Ds_FT_2"
"34";"RESIL_NON";"[26:40]";"ANC4";"O1O2";"NO_DEP";"APP1";"PAP3";"HORS_FFT_OUI";"SER3";"TU3";"NB_HF_1";"SD_Ds_FT_1"
"35";"RESIL_NON";"[41:60]";"ANC2";"O1O2";"DEP";"APP2";"PAP2";"HORS_FFT_OUI";"SER3";"TU4";"NB_HF_2";"SD_Ds_FT_0"
"36";"RESIL_OUI";"[41:60]";"ANC3";"O3O4";"NO_DEP";"APP1";"PAP2";"HORS_FFT_OUI";"SER1";"TU2";"NB_HF_1";"SD_Ds_FT_2"
"37";"RESIL_NON";"[0:25]";"ANC2";"O5O6";"NO_DEP";"APP4";"PAP3";"HORS_FFT_OUI";"SER3";"TU3";"NB_HF_3";"SD_Ds_FT_2"
"38";"RESIL_NON";"[26:40]";"ANC2";"O3O4";"DEP";"APP3";"PAP2";"HORS_FFT_OUI";"SER3";"TU2";"NB_HF_3";"SD_Ds_FT_2"
"39";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"NO_DEP";"APP1";"PAP3";"HORS_FFT_NON";"SER4";"TU2";"NB_HF_0";"SD_Ds_FT_2"
"40";"RESIL_NON";"[26:40]";"ANC4";"O1O2";"DEP";"APP1";"PAP3";"HORS_FFT_NON";"SER3";"TU3";"NB_HF_0";"SD_Ds_FT_1"
"41";"RESIL_NON";"[0:25]";"ANC4";"O3O4";"DEP";"APP4";"PAP2";"HORS_FFT_OUI";"SER2";"TU3";"NB_HF_3";"SD_Ds_FT_1"
"42";"RESIL_NON";"[41:60]";"ANC4";"O5O6";"DEP";"APP4";"PAP2";"HORS_FFT_NON";"SER4";"TU3";"NB_HF_0";"SD_Ds_FT_2"
"43";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"DEP";"APP4";"PAP2";"HORS_FFT_OUI";"SER4";"TU4";"NB_HF_3";"SD_Ds_FT_1"
"44";"RESIL_NON";"[41:60]";"ANC4";"O3O4";"DEP";"APP3";"PAP2";"HORS_FFT_NON";"SER1";"TU3";"NB_HF_0";"SD_Ds_FT_2"
"45";"RESIL_NON";"[26:40]";"ANC2";"O1O2";"DEP";"APP1";"PAP2";"HORS_FFT_OUI";"SER1";"TU3";"NB_HF_1";"SD_Ds_FT_1"
"46";"RESIL_NON";"[0:25]";"ANC4";"O1O2";"NO_DEP";"APP1";"PAP2";"HORS_FFT_OUI";"SER3";"TU3";"NB_HF_1";"SD_Ds_FT_1"
"47";"RESIL_NON";"[41:60]";"ANC4";"O3O4";"DEP";"APP3";"PAP3";"HORS_FFT_NON";"SER3";"TU3";"NB_HF_0";"SD_Ds_FT_1"
"48";"RESIL_OUI";"[61:110]";"ANC1";"O3O4";"DEP";"APP3";"PAP2";"HORS_FFT_OUI";"SER3";"TU4";"NB_HF_3";"SD_Ds_FT_1"
"49";"RESIL_NON";"[0:25]";"ANC2";"O5O6";"NO_DEP";"APP0";"Autres";"HORS_FFT_NON";"SER2";"TU1";"NB_HF_0";"SD_Ds_FT_0"
"50";"RESIL_NON";"[41:60]";"ANC2";"O3O4";"NO_DEP";"APP2";"PAP3";"HORS_FFT_OUI";"SER4";"TU3";"NB_HF_1";"SD_Ds_FT_1"
"51";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"DEP";"APP3";"PAP2";"HORS_FFT_OUI";"SER2";"TU4";"NB_HF_3";"SD_Ds_FT_1"
"52";"RESIL_NON";"[41:60]";"ANC4";"O3O4";"NO_DEP";"APP2";"PAP3";"HORS_FFT_OUI";"SER2";"TU2";"NB_HF_1";"SD_Ds_FT_2"
"53";"RESIL_NON";"[26:40]";"ANC4";"O7";"NO_DEP";"APP4";"PAP3";"HORS_FFT_NON";"SER4";"TU1";"NB_HF_0";"SD_Ds_FT_2"
"54";"RESIL_NON";"[26:40]";"ANC4";"O7";"NO_DEP";"APP4";"PAP3";"HORS_FFT_NON";"SER2";"TU1";"NB_HF_0";"SD_Ds_FT_2"
"55";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"DEP";"APP3";"PAP2";"HORS_FFT_OUI";"SER3";"TU4";"NB_HF_2";"SD_Ds_FT_0"
"56";"RESIL_OUI";"[26:40]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"HORS_FFT_OUI";"SER3";"TU2";"NB_HF_1";"SD_Ds_FT_1"
"57";"RESIL_OUI";"[0:25]";"ANC1";"O1O2";"NO_DEP";"APP0";"Autres";"HORS_FFT_NON";"SER1";"TU1";"NB_HF_0";"SD_Ds_FT_0"
"58";"RESIL_NON";"[26:40]";"ANC4";"O1O2";"DEP";"APP2";"PAP2";"HORS_FFT_OUI";"SER1";"TU4";"NB_HF_1";"SD_Ds_FT_1"
"59";"RESIL_NON";"[41:60]";"ANC4";"O7";"NO_DEP";"APP4";"PAP2";"HORS_FFT_OUI";"SER4";"TU1";"NB_HF_3";"SD_Ds_FT_2"
"60";"RESIL_NON";"[26:40]";"ANC4";"O3O4";"DEP";"APP4";"PAP2";"HORS_FFT_OUI";"SER1";"TU4";"NB_HF_3";"SD_Ds_FT_0"
"61";"RESIL_NON";"[26:40]";"ANC4";"O5O6";"NO_DEP";"APP4";"PAP2";"HORS_FFT_OUI";"SER4";"TU3";"NB_HF_3";"SD_Ds_FT_2"
