"FLAG_RESIL";"CLASS_AGE";"CLASS_ANC";"CLASS_OFFRE";"CLASS_DEP";"CLASS_APPELS";"CLASS_P_APPELS_DS_FFT";"CLASS_VAR";"CLASS_TU";"CLASS_HORS_FFT";"CLASS_QT_M1";"CLASS_QT_M2";"CLASS_QT_M3";"CLASS_TYP_VAR";"CLASS_SERVICES";"CHOIX_OFFRE"
"22";"RESIL_NON";"[61:110]";"ANC3";"O3O4";"NO_DEP";"APP3";"PAP3";"PAS_VARIATION";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER4";"CHOIX_OUI"
"23";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER2";"CHOIX_NON"
"24";"RESIL_OUI";"[41:60]";"ANC1";"O3O4";"NO_DEP";"APP3";"PAP3";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SERNA";"CHOIX_OUI"
"25";"RESIL_NON";"[41:60]";"ANC2";"O7";"NO_DEP";"APP4";"PAP3";"CROISSANCE";"UTIL_ILIM";"HORS_FFT_NON";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER1";"CHOIX_NON"
"26";"RESIL_NON";"[41:60]";"ANC1";"O1O2";"NO_DEP";"APP1";"PAP3";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"27";"RESIL_OUI";"[0:25]";"ANC1";"O1O2";"DEP";"APP1";"PAP2";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER4";"CHOIX_NON"
"28";"RESIL_NON";"[26:40]";"ANC3";"O5O6";"NO_DEP";"APP3";"PAP3";"CROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER3";"CHOIX_NON"
"29";"RESIL_NON";"[26:40]";"ANC2";"O1O2";"DEP";"APP2";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_NON"
"30";"RESIL_NON";"[0:25]";"ANC2";"O3O4";"DEP";"APP3";"PAP3";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER4";"CHOIX_NON"
"31";"RESIL_NON";"[26:40]";"ANC2";"O1O2";"DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER2";"CHOIX_OUI"
"32";"RESIL_NON";"[41:60]";"ANC3";"O7";"NO_DEP";"APP0";"Autres";"PAS_VARIATION";"UTIL_ILIM";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER2";"CHOIX_NON"
"33";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"NO_DEP";"APP3";"PAP3";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"SER1";"CHOIX_OUI"
"34";"RESIL_NON";"[26:40]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_OUI"
"35";"RESIL_NON";"[41:60]";"ANC2";"O1O2";"DEP";"APP2";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_NON"
"36";"RESIL_OUI";"[41:60]";"ANC3";"O3O4";"NO_DEP";"APP1";"PAP2";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER1";"CHOIX_NON"
"37";"RESIL_NON";"[0:25]";"ANC2";"O5O6";"NO_DEP";"APP4";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER3";"CHOIX_NON"
"38";"RESIL_NON";"[26:40]";"ANC2";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER3";"CHOIX_OUI"
"39";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"NO_DEP";"APP1";"PAP3";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_NON"
"40";"RESIL_NON";"[26:40]";"ANC3";"O1O2";"DEP";"APP1";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"41";"RESIL_NON";"[0:25]";"ANC3";"O3O4";"DEP";"APP4";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER2";"CHOIX_OUI"
"42";"RESIL_NON";"[41:60]";"ANC3";"O5O6";"DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_OUI"
"43";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_NON"
"44";"RESIL_NON";"[41:60]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER1";"CHOIX_OUI"
"45";"RESIL_NON";"[26:40]";"ANC2";"O1O2";"DEP";"APP1";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER1";"CHOIX_OUI"
"46";"RESIL_NON";"[0:25]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"47";"RESIL_NON";"[41:60]";"ANC3";"O3O4";"DEP";"APP3";"PAP3";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_OUI"
"48";"RESIL_OUI";"[61:110]";"ANC1";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_NON"
"49";"RESIL_NON";"[0:25]";"ANC2";"O5O6";"NO_DEP";"APP0";"Autres";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER2";"CHOIX_NON"
"50";"RESIL_NON";"[41:60]";"ANC2";"O3O4";"NO_DEP";"APP2";"PAP3";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER4";"CHOIX_OUI"
"51";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER2";"CHOIX_NON"
"52";"RESIL_NON";"[41:60]";"ANC3";"O3O4";"NO_DEP";"APP2";"PAP3";"DECROISSANCE";"UTIL_BAS";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_NON"
"53";"RESIL_NON";"[26:40]";"ANC3";"O7";"NO_DEP";"APP4";"PAP3";"CROISSANCE";"UTIL_ILIM";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_NON"
"54";"RESIL_NON";"[26:40]";"ANC3";"O7";"NO_DEP";"APP4";"PAP3";"DECROISSANCE";"UTIL_ILIM";"HORS_FFT_NON";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_NON"
"55";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_NON"
"56";"RESIL_OUI";"[26:40]";"ANC3";"O1O2";"NO_DEP";"APP1";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"PAS_APPEL_M2";"APPEL_M3";"PEU_VAR";"SER3";"CHOIX_OUI"
"57";"RESIL_OUI";"[0:25]";"ANC1";"O1O2";"NO_DEP";"APP0";"Autres";"PAS_VARIATION";"UTIL_BAS";"HORS_FFT_NON";"PAS_APPEL_M1";"PAS_APPEL_M2";"PAS_APPEL_M3";"PEU_VAR";"SER1";"CHOIX_NON"
"58";"RESIL_NON";"[26:40]";"ANC3";"O1O2";"DEP";"APP2";"PAP2";"DECROISSANCE";"UTIL_EXCE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER1";"CHOIX_NON"
"59";"RESIL_NON";"[41:60]";"ANC3";"O7";"NO_DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_ILIM";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_NON"
"60";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"PEU_VAR";"SER1";"CHOIX_OUI"
"61";"RESIL_NON";"[26:40]";"ANC3";"O5O6";"NO_DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER4";"CHOIX_OUI"
"62";"RESIL_NON";"[26:40]";"ANC3";"O5O6";"DEP";"APP4";"PAP2";"CROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER1";"CHOIX_OUI"
"63";"RESIL_NON";"[26:40]";"ANC3";"O5O6";"NO_DEP";"APP4";"PAP2";"DECROISSANCE";"UTIL_NORMAL";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"PAS_APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"64";"RESIL_NON";"[26:40]";"ANC3";"O3O4";"DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"PAS_APPEL_M1";"APPEL_M2";"APPEL_M3";"GRANDE_VAR";"SER2";"CHOIX_OUI"
"65";"RESIL_NON";"[0:25]";"ANC3";"O3O4";"NO_DEP";"APP3";"PAP2";"CROISSANCE";"UTIL_HAUTE";"HORS_FFT_OUI";"APPEL_M1";"APPEL_M2";"APPEL_M3";"MOY_VAR";"SER3";"CHOIX_OUI"
